Date,Open,High,Low,Close,Volume,Change_%,Trend,Range,Range_%,Gap,Gap_%,RSI_14,MACD,MACD_Signal,MACD_Hist,ROC_10,ATR_14,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_%B,Volatility_20,OBV,Volume_MA20,Volume_Ratio,VWAP_Cumulative,Lag_1,Lag_2,Lag_3,Lag_5,Return_1,Return_3,Return_5,Rolling_High_10,Rolling_Low_10,Rolling_High_20,Rolling_Low_20,Pct_From_High_20,Pct_From_Low_20
01-04-2026,22899.0,22941.30078,22618.59961,22679.40039,518000,1.5583,Positive,322.7,1.43,567.6,2.54,36.9868,-654.4403,-609.2687,-45.1716,-3.1159,458.33,23547.78,25015.39,22080.17,0.1246,0.2042,26.1705,72215000,523685,0.9891,14248.33,22331.4,22819.6,23306.45,22512.65,1.5583,-2.6905,0.7407,23862.25,22283.85,24989.35,22283.85,-9.2437,1.7751
30-03-2026,22549.65039,22714.09961,22283.84961,22331.40039,698600,-2.1394,Negative,430.25,1.93,-269.95,-1.18,31.8842,-662.9273,-597.9758,-64.9515,-3.5406,446.67,23672.74,25245.17,22100.31,0.1328,0.0735,25.1003,71697000,519730,1.3442,14243.8,22819.6,23306.45,22912.4,23114.5,-2.1394,-2.5357,-3.3879,23862.25,22283.85,25476.4,22283.85,-12.3448,0.2134
27-03-2026,23173.55078,23186.09961,22804.55078,22819.59961,612600,-2.0889,Negative,381.55,1.67,-132.9,-0.57,35.6442,-628.6843,-581.738,-46.9463,-3.4669,439.82,23831.0,25467.39,22194.61,0.1373,0.191,24.5715,72395600,505060,1.2129,14237.91,23306.45,22912.4,22512.65,23002.15,-2.0889,1.3635,-0.7936,23862.25,22471.25,25572.95,22471.25,-10.7667,1.5502
25-03-2026,23064.40039,23465.34961,23063.19922,23306.44922,505400,1.7198,Positive,402.15,1.74,152.0,0.66,40.0137,-625.541,-570.0014,-55.5396,-2.348,435.04,23964.15,25681.05,22247.24,0.1433,0.3085,23.9988,73008200,495140,1.0207,14232.42,22912.4,22512.65,23114.5,23777.8,1.7198,0.8304,-1.9823,23862.25,22471.25,25652.6,22471.25,-9.1459,3.7167
24-03-2026,22878.44922,23057.30078,22624.19922,22912.40039,538100,1.7757,Positive,433.1,1.91,365.8,1.62,33.9261,-662.0002,-556.1165,-105.8837,-5.561,425.97,24070.06,25870.89,22269.22,0.1496,0.1786,22.7209,72502800,491825,1.0941,14227.72,22512.65,23114.5,23002.15,23581.15,1.7757,-0.3902,-2.836,24299.0,22471.25,25652.6,22471.25,-10.682,1.9632
23-03-2026,22824.34961,22851.69922,22471.25,22512.65039,550300,-2.6038,Negative,380.45,1.69,-290.15,-1.26,26.9419,-658.7851,-529.6455,-129.1396,-6.3068,416.84,24210.09,26063.83,22356.34,0.1531,0.0422,21.4423,71964700,480605,1.145,14222.93,23114.5,23002.15,23777.8,23408.8,-2.6038,-5.3207,-3.8283,24303.8,22471.25,25771.45,22471.25,-12.645,0.1842
20-03-2026,23110.15039,23345.15039,23067.59961,23114.5,663300,0.4884,Positive,277.55,1.2,108.0,0.47,31.6136,-604.3973,-497.3607,-107.0366,-5.4639,399.42,24363.02,26134.21,22591.82,0.1454,0.1476,20.401,72515000,467920,1.4176,14218.17,23002.15,23777.8,23581.15,23151.1,0.4884,-1.9789,-0.1581,24303.8,22930.35,25771.45,22930.35,-10.3097,0.8031
19-03-2026,23197.75,23378.69922,22930.34961,23002.15039,550100,-3.2621,Negative,448.35,1.96,-580.05,-2.44,29.4944,-587.4667,-470.6015,-116.8652,-7.1217,403.76,24480.01,26214.61,22745.41,0.1417,0.074,20.3242,71851700,449665,1.2234,14212.04,23777.8,23581.15,23408.8,23639.15,-3.2621,-1.7372,-2.6947,24700.9,22930.35,25885.3,22930.35,-11.1382,0.3131
18-03-2026,23632.90039,23862.25,23618.44922,23777.80078,382900,0.8339,Positive,243.8,1.03,51.75,0.22,36.8063,-545.8728,-441.3852,-104.4876,-2.8704,369.63,24620.87,26309.48,22932.25,0.1372,0.2504,17.787,72401800,437670,0.8749,14206.99,23581.15,23408.8,23151.1,23866.85,0.8339,2.707,-0.3731,24854.2,22955.25,25885.3,22955.25,-8.1417,3.5833
17-03-2026,23493.19922,23656.80078,23346.59961,23581.15039,458800,0.7363,Positive,310.2,1.33,84.4,0.36,32.8896,-563.8193,-415.2633,-148.556,-5.1659,376.45,24718.25,26425.68,23010.81,0.1382,0.167,17.331,72018900,435730,1.0529,14203.21,23408.8,23151.1,23639.15,24261.6,0.7363,-0.2454,-2.8046,24854.2,22955.25,25885.3,22955.25,-8.9014,2.7266
16-03-2026,23116.09961,23502.0,22955.25,23408.80078,540300,1.1131,Positive,546.75,2.38,-35.0,-0.15,29.3247,-558.5019,-378.1243,-180.3776,-7.0292,381.54,24823.33,26496.24,23150.42,0.1348,0.0772,17.4174,71560100,426580,1.2666,14198.79,23151.1,23639.15,23866.85,24028.05,1.1131,-1.9192,-2.5772,24989.35,22955.25,25885.3,22955.25,-9.5672,1.9758
13-03-2026,23462.5,23492.40039,23112.0,23151.09961,519800,-2.0646,Negative,380.4,1.65,-176.65,-0.75,23.6972,-526.043,-333.0299,-193.0131,-9.1991,368.83,24926.44,26488.44,23364.45,0.1253,-0.0683,16.7019,71019800,422240,1.2311,14193.71,23639.15,23866.85,24261.6,24450.45,-2.0646,-4.5772,-5.3142,25476.4,23112.0,25885.3,23112.0,-10.5628,0.1692
12-03-2026,23674.84961,23833.15039,23556.30078,23639.15039,501000,-0.954,Negative,276.85,1.18,-192.0,-0.8,27.5557,-450.7235,-284.7766,-165.9469,-7.2338,356.65,25059.25,26435.5,23683.0,0.1098,-0.0159,15.6794,71539600,417220,1.2008,14188.84,23866.85,24261.6,24028.05,24765.9,-0.954,-1.6185,-4.5496,25572.95,23556.3,25906.7,23556.3,-8.7528,0.3517
11-03-2026,24231.84961,24299.0,23834.30078,23866.84961,407400,-1.6271,Negative,464.7,1.95,-29.75,-0.12,29.6471,-397.7248,-243.2899,-154.4349,-6.1271,360.2,25174.98,26438.79,23911.17,0.1004,-0.0175,15.6777,72040600,408740,0.9967,14183.92,24261.6,24028.05,24450.45,24480.5,-1.6271,-2.3869,-2.5067,25652.6,23697.8,26009.4,23697.8,-8.2376,0.7134
10-03-2026,24280.80078,24303.80078,24079.94922,24261.59961,444300,0.972,Positive,223.85,0.93,252.75,1.05,33.7734,-347.4781,-204.6811,-142.797,-5.6446,352.16,25278.4,26430.68,24126.11,0.0912,0.0588,15.1519,72448000,411415,1.0799,14179.78,24028.05,24450.45,24765.9,24865.7,0.972,-2.0363,-2.4294,25652.6,23697.8,26009.4,23697.8,-6.7199,2.3791
09-03-2026,23868.05078,24078.15039,23697.80078,24028.05078,526900,-1.7276,Negative,380.35,1.6,-582.4,-2.38,28.2902,-318.4835,-168.9819,-149.5016,-6.0349,358.04,25358.68,26437.83,24279.53,0.0851,-0.1165,14.8536,72003700,407170,1.2941,14175.16,24450.45,24765.9,24480.5,25178.65,-1.7276,-1.8482,-4.5697,25771.45,23697.8,26009.4,23697.8,-7.6178,1.3936
06-03-2026,24656.40039,24700.90039,24415.75,24450.44922,433400,-1.2737,Negative,285.15,1.17,-109.5,-0.44,32.8592,-253.0638,-131.6065,-121.4573,-3.9439,327.69,25441.96,26339.27,24544.66,0.0705,-0.0525,13.9867,72530600,399600,1.0846,14169.83,24765.9,24480.5,24865.7,25496.55,-1.2737,-1.67,-4.1029,25771.45,24305.4,26009.4,24305.4,-5.9938,0.5968
05-03-2026,24615.94922,24854.19922,24529.40039,24765.90039,504300,1.1658,Positive,324.8,1.32,135.45,0.55,37.0034,-208.8914,-101.2422,-107.6492,-4.0801,325.96,25501.58,26277.72,24725.45,0.0609,0.0261,13.4844,72964000,395120,1.2763,14165.18,24480.5,24865.7,25178.65,25482.5,1.1658,-1.6393,-2.8121,25885.3,24305.4,26009.4,24305.4,-4.781,1.8946
04-03-2026,24388.80078,24602.44922,24305.40039,24480.5,599000,-1.5491,Negative,297.05,1.22,-476.9,-1.92,29.5375,-181.5917,-74.3299,-107.2618,-4.8392,322.29,25552.09,26258.48,24845.69,0.0553,-0.2585,12.5979,72459700,391395,1.5304,14159.66,24865.7,25178.65,25496.55,25424.65,-1.5491,-3.9851,-3.7135,25885.3,24305.4,26009.4,24305.4,-5.8783,0.7204
02-03-2026,24659.25,24989.34961,24603.5,24865.69922,519200,-1.2429,Negative,385.85,1.57,-519.4,-2.06,34.69,-115.047,-47.5144,-67.5326,-3.1813,303.98,25614.44,26124.28,25104.6,0.0398,-0.2343,15.0386,73058700,393310,1.3201,14153.25,25178.65,25496.55,25482.5,25713.0,-1.2429,-2.4205,-3.2952,25885.3,24603.5,26341.2,24603.5,-5.6015,1.0657
27-02-2026,25459.84961,25476.40039,25141.30078,25178.65039,438900,-1.2468,Negative,335.1,1.33,-36.7,-0.14,39.9469,-67.6586,-30.6313,-37.0273,-1.1482,283.12,25625.58,26075.76,25175.39,0.0351,0.0036,14.7306,73577900,389810,1.1259,14147.5,25496.55,25482.5,25424.65,25571.25,-1.2468,-0.9676,-1.5353,25885.3,25141.3,26341.2,24679.4,-4.4134,2.0229
